"rt","stimulus","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","view_history","question_order","exact","round","truth","choice","spread","valence","consequence","truth_bn","truth_lk","choose_dif","result","success","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback"
"","","","attention","survey-multi-choice","10","245610","0.0-3.0-5.0","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","11","248616","0.0-3.0-0.1","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","12","251623","0.0-3.0-1.1","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","13","254632","0.0-3.0-2.1","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 11 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 91 coins <span style=""font-weight: bold""> &rarr; </span> 190 coins
        </div>
    ","null","report","html-keyboard-response","14","257635","0.0-3.0-3.1","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8961","","{""Q0"":""False"",""Q1"":""Mostly false"",""Q2"":""No""}","measures","survey-multi-choice","15","266598","0.0-3.0-4.1","uyo5c3cxyg","","","[0,1,2]","99","100","88","exact","-11","-1","0","0","1","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","16","266602","0.0-3.0-5.1","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 937 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","17","269607","0.0-3.0-0.2","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 937 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","18","272612","0.0-3.0-1.2","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 937 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","19","275616","0.0-3.0-2.2","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 937 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 21 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 190 coins <span style=""font-weight: bold""> &rarr; </span> 1148 coins
        </div>
    ","null","report","html-keyboard-response","20","278623","0.0-3.0-3.2","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8571","","{""Q0"":""True"",""Q1"":""Mostly true"",""Q2"":""No""}","measures","survey-multi-choice","21","287197","0.0-3.0-4.2","uyo5c3cxyg","","","[0,1,2]","937","1000","958","round","21","1","0","1","5","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","22","287201","0.0-3.0-5.2","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 943 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","23","290208","0.0-3.0-0.3","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 943 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","24","293215","0.0-3.0-1.3","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 943 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","25","296223","0.0-3.0-2.3","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 943 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 15 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 1148 coins <span style=""font-weight: bold""> &rarr; </span> 2106 coins
        </div>
    ","null","report","html-keyboard-response","26","299232","0.0-3.0-3.3","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18427","","{""Q0"":""True"",""Q1"":""Somewhat true"",""Q2"":""No""}","measures","survey-multi-choice","27","317661","0.0-3.0-4.3","uyo5c3cxyg","","","[0,1,2]","943","1000","958","round","15","1","0","1","4","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","28","317665","0.0-3.0-5.3","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 921 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","29","320667","0.0-3.0-0.4","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 921 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","30","323672","0.0-3.0-1.4","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 921 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","31","326680","0.0-3.0-2.4","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 921 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 37 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 2106 coins <span style=""font-weight: bold""> &rarr; </span> 3064 coins
        </div>
    ","null","report","html-keyboard-response","32","329688","0.0-3.0-3.4","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16083","","{""Q0"":""True"",""Q1"":""Mostly true"",""Q2"":""No""}","measures","survey-multi-choice","33","345773","0.0-3.0-4.4","uyo5c3cxyg","","","[0,1,2]","921","1000","958","round","37","1","0","1","5","0","","","","","","","","","","","","","","","",""
"13524","","Somewhat false","attention","survey-multi-choice","34","359301","0.0-3.0-5.4","uyo5c3cxyg","","","[0]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","35","362312","0.0-3.0-0.5","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","36","365318","0.0-3.0-1.5","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","37","368323","0.0-3.0-2.5","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: tomato""> 21 fewer coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 3064 coins <span style=""font-weight: bold""> &rarr; </span> 4022 coins
        </div>
    ","null","report","html-keyboard-response","38","371327","0.0-3.0-3.5","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9700","","{""Q0"":""False"",""Q1"":""Mostly false"",""Q2"":""Yes""}","measures","survey-multi-choice","39","381029","0.0-3.0-4.5","uyo5c3cxyg","","","[0,1,2]","979","1000","958","round","-21","-1","-21","0","1","1","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","40","381033","0.0-3.0-5.5","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","41","384035","0.0-3.0-0.6","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","42","387039","0.0-3.0-1.6","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","43","390048","0.0-3.0-2.6","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 6 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 4022 coins <span style=""font-weight: bold""> &rarr; </span> 4116 coins
        </div>
    ","null","report","html-keyboard-response","44","393055","0.0-3.0-3.6","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7994","","{""Q0"":""False"",""Q1"":""Mostly false"",""Q2"":""No""}","measures","survey-multi-choice","45","401052","0.0-3.0-4.6","uyo5c3cxyg","","","[0,1,2]","94","100","88","exact","-6","-1","0","0","1","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","46","401056","0.0-3.0-5.6","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","47","404063","0.0-3.0-0.7","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","48","407072","0.0-3.0-1.7","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    ","null","payouts","html-keyboard-response","49","410079","0.0-3.0-2.7","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: tomato""> 15 fewer coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 4116 coins <span style=""font-weight: bold""> &rarr; </span> 5074 coins
        </div>
    ","null","report","html-keyboard-response","50","413088","0.0-3.0-3.7","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9857","","{""Q0"":""False"",""Q1"":""Mostly false"",""Q2"":""Yes""}","measures","survey-multi-choice","51","422948","0.0-3.0-4.7","uyo5c3cxyg","","","[0,1,2]","973","1000","958","round","-15","-1","-15","0","1","1","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","52","422951","0.0-3.0-5.7","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 995 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","claims","html-keyboard-response","53","425960","0.0-3.0-0.8","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 995 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    ","null","choice","html-keyboard-response","54","428968","0.0-3.0-1.8","uyo5c3cxyg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
