"rt","stimulus","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","view_history","question_order","exact","round","truth","choice","spread","valence","consequence","truth_bn","truth_lk","choose_dif","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback","result","success"
"","","","attention","survey-multi-choice","10","17552","0.0-3.0-5.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"744","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","11","18297","0.0-3.0-0.1","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","12","18435","0.0-3.0-1.1","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","13","18571","0.0-3.0-2.1","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 99 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: tomato""> 11 fewer coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 88 coins <span style=""font-weight: bold""> &rarr; </span> 176 coins
        </div>
    "," ","report","html-keyboard-response","14","18696","0.0-3.0-3.1","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3210","","{""Q0"":""True"",""Q1"":""Completely false"",""Q2"":""No""}","measures","survey-multi-choice","15","21908","0.0-3.0-4.1","l1aku5fx25","","","[0,1,2]","99","100","88","round","-11","-1","-11","1","0","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","16","21911","0.0-3.0-5.1","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"311","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","17","22223","0.0-3.0-0.2","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"149","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","18","22373","0.0-3.0-1.2","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","19","22510","0.0-3.0-2.2","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 973 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 15 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 176 coins <span style=""font-weight: bold""> &rarr; </span> 1149 coins
        </div>
    "," ","report","html-keyboard-response","20","22656","0.0-3.0-3.2","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3235","","{""Q0"":""True"",""Q1"":""Completely false"",""Q2"":""No""}","measures","survey-multi-choice","21","25893","0.0-3.0-4.2","l1aku5fx25","","","[0,1,2]","973","1000","958","exact","-15","-1","0","1","0","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","22","25897","0.0-3.0-5.2","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"354","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 995 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","23","26252","0.0-3.0-0.3","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 995 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","24","26391","0.0-3.0-1.3","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 995 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","25","26535","0.0-3.0-2.3","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 995 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 37 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 1149 coins <span style=""font-weight: bold""> &rarr; </span> 2144 coins
        </div>
    "," ","report","html-keyboard-response","26","26668","0.0-3.0-3.3","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3574","","{""Q0"":""True"",""Q1"":""Mostly false"",""Q2"":""Yes""}","measures","survey-multi-choice","27","30244","0.0-3.0-4.3","l1aku5fx25","","","[0,1,2]","995","1000","958","exact","-37","-1","0","1","1","1","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","28","30248","0.0-3.0-5.3","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"258","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","29","30507","0.0-3.0-0.4","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","30","30649","0.0-3.0-1.4","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","31","30793","0.0-3.0-2.4","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 94 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: tomato""> 6 fewer coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 2144 coins <span style=""font-weight: bold""> &rarr; </span> 2232 coins
        </div>
    "," ","report","html-keyboard-response","32","30930","0.0-3.0-3.4","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3655","","{""Q0"":""True"",""Q1"":""Completely true"",""Q2"":""Yes""}","measures","survey-multi-choice","33","34587","0.0-3.0-4.4","l1aku5fx25","","","[0,1,2]","94","100","88","round","-6","-1","-6","1","6","1","","","","","","","","","","","","","","","",""
"3618","","Somewhat false","attention","survey-multi-choice","34","38208","0.0-3.0-5.4","l1aku5fx25","","","[0]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"356","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 91 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","35","38568","0.0-3.0-0.5","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"286","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 91 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","36","38855","0.0-3.0-1.5","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 91 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","37","38994","0.0-3.0-2.5","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"475","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 91 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: tomato""> 3 fewer coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 2232 coins <span style=""font-weight: bold""> &rarr; </span> 2320 coins
        </div>
    "," ","report","html-keyboard-response","38","39470","0.0-3.0-3.5","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3294","","{""Q0"":""True"",""Q1"":""Completely false"",""Q2"":""No""}","measures","survey-multi-choice","39","42767","0.0-3.0-4.5","l1aku5fx25","","","[0,1,2]","91","100","88","round","-3","-1","-3","1","0","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","40","42770","0.0-3.0-5.5","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"221","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","41","42994","0.0-3.0-0.6","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","42","43140","0.0-3.0-1.6","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","43","43272","0.0-3.0-2.6","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment chosen"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 979 coins
            </div>
            <div id=""payment-2"" class=""payment "">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 1000 coins
                <br>
                <br>
                EXACT VALUE: 958 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 21 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 2320 coins <span style=""font-weight: bold""> &rarr; </span> 3299 coins
        </div>
    "," ","report","html-keyboard-response","44","43418","0.0-3.0-3.6","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3849","","{""Q0"":""True"",""Q1"":""Completely false"",""Q2"":""No""}","measures","survey-multi-choice","45","47269","0.0-3.0-4.6","l1aku5fx25","","","[0,1,2]","979","1000","958","exact","-21","-1","0","1","0","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","46","47272","0.0-3.0-5.6","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 82 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","47","47505","0.0-3.0-0.7","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 82 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","48","47673","0.0-3.0-1.7","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 82 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","49","47817","0.0-3.0-2.7","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 82 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 6 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 3299 coins <span style=""font-weight: bold""> &rarr; </span> 3387 coins
        </div>
    "," ","report","html-keyboard-response","50","47964","0.0-3.0-3.7","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3488","","{""Q0"":""True"",""Q1"":""Completely false"",""Q2"":""No""}","measures","survey-multi-choice","51","51452","0.0-3.0-4.7","l1aku5fx25","","","[0,1,2]","82","100","88","round","6","1","0","1","0","0","","","","","","","","","","","","","","","",""
"","","","attention","survey-multi-choice","52","51456","0.0-3.0-5.7","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"254","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 85 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","53","51711","0.0-3.0-0.8","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 85 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","54","51856","0.0-3.0-1.8","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
